(1, [223], 121.6098735332489) 
(1, [140], 131.9337239265442) 
(1, [272], 108.91561961174011) 
(1, [111], 108.27833843231201) 
(1, [176], 120.96406531333923) 
(1, [65], 92.51143479347229) 
(1, [213], 113.04922914505005) 
(1, [157], 127.42383670806885) 
(1, [129], 114.1733865737915) 
(1, [122], 109.28598594665527) 
(2, [167, 273], 286.14985752105713) 
(2, [283, 82], 220.60282826423645) 
(2, [107, 73], 117.78524112701416) 
(2, [276, 264], 339.85004901885986) 
(2, [226, 138], 500) 
(2, [234, 160], 168.28973698616028) 
(2, [170, 284], 187.42301535606384) 
(2, [119, 151], 177.86643815040588) 
(2, [245, 42], 172.16891145706177) 
(2, [121, 115], 138.27073287963867) 
